"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"","I love my new AirPods. They came with real packaging and a working serial number!","5","2023-03-09 00:00:00 UTC","judge-me","ok","Lori Hall","mitchell02@wright.net","9179556512072","pods-pro-2-vendor","","","","","","review-8a26dcd6-7d4c-4302-8740-6e63ade715b6"
"","Amazing product! The sound quality is fantastic, and the packaging is so real.","4","2023-03-15 00:00:00 UTC","judge-me","ok","Michael Stevens","william43@hotmail.com","9179556512072","pods-pro-2-vendor","","","https://image.dhgate.com/webp/m/f3/review/km/l/15/426c4c6f-2d90-4dee-9098-d2ddd70d54a6.jpg, https://image.dhgate.com/webp/m/f3/review/km/l/15/724f7928-0ef2-4f4a-86af-64973d16b083.jpg","","","review-dbc24328-b813-4d75-9004-cf55707d3e37"
"","I’m blown away! The packaging, quality, and sound are just like the originals.","5","2023-04-14 00:00:00 UTC","judge-me","ok","John Ball","jonathon52@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-66038cbb-ed0d-472f-9e04-5949395a1180"
"","Couldn’t be happier. Real packaging, sound, and a valid serial number. Spot on.","5","2023-03-24 00:00:00 UTC","judge-me","ok","Susan Young","urichardson@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-ca2db485-2a0a-47e1-af01-b15a181fd6e0"
"","Packaging was legit, and the sound quality of these AirPods is impressive.","5","2023-05-01 00:00:00 UTC","judge-me","ok","Jesse Payne","cantujamie@carpenter.com","9179556512072","pods-pro-2-vendor","","","","","","review-911decb6-e2d1-487c-9bda-734909e82468"
"","These are hands down the best replica AirPods I’ve ever seen!","5","2023-06-24 00:00:00 UTC","judge-me","ok","James Smith","daniel38@raymond.com","9179556512072","pods-pro-2-vendor","","","","","","review-c76fcd96-c940-481f-b07a-e14cc93bb717"
"","Couldn’t ask for better replicas. These AirPods are 1:1 replicas for sure.","5","2023-07-12 00:00:00 UTC","judge-me","ok","James Moore","abigailchen@miller.com","9179556512072","pods-pro-2-vendor","","","","","","review-f7e921c1-1761-400a-970b-16b493848342"
"","Love these AirPods. Perfect packaging and the serial number checked out!","5","2023-08-11 00:00:00 UTC","judge-me","ok","Sharon Beasley","roberto61@yahoo.com","9179556512072","pods-pro-2-vendor","","","","","","review-f760ce00-fcf8-4252-a234-0a944ab775d4"
"","The packaging looked just like the original. Serial number checked out too.","5","2023-08-22 00:00:00 UTC","judge-me","ok","Matthew Velazquez","michael35@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-1e0e35ef-129f-491e-89a8-7d22a0c92e01"
"","So happy with these AirPods. Real packaging, valid serial number, and perfect sound.","5","2023-09-22 00:00:00 UTC","judge-me","ok","Michelle Ellison","barbaragarcia@meyers.com","9179556512072","pods-pro-2-vendor","","","","","","review-65f22fef-3bfa-41da-9e43-3d20ec9f2c7d"
"","Excellent quality. These AirPods came in real packaging and sound amazing.","5","2023-09-22 00:00:00 UTC","judge-me","ok","Alejandro Jackson","jordankimberly@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-f381a2a5-d1ba-4fd3-9b0a-3d2b5a5c8d7c"
"","Real packaging, real serial numbers, and excellent sound. Best replicas!","5","2023-09-29 00:00:00 UTC","judge-me","ok","Allen Harris","gregorykelly@hotmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-fde658e2-44d7-491f-b5c8-e3c02136fbb2"
"","You won’t find better replicas. These AirPods are as good as the originals.","5","2023-12-15 00:00:00 UTC","judge-me","ok","Justin Mitchell","henrythomas@howard-barnes.com","9179556512072","pods-pro-2-vendor","","","","","","review-7aefdcfb-e1b6-4337-84ea-461c3ca37b7c"
"","Couldn’t be happier with my purchase. Real packaging, great sound, and valid serial numbers.","5","2023-11-17 00:00:00 UTC","judge-me","ok","Christopher Boyd","rgray@gmail.com","9179556512072","pods-pro-2-vendor","","","","","","review-787cbfc0-e153-4de3-9996-369d499bbbb0"
